Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Alignment__c,Data_Type__c,Dataset_Config__c,Developer_Key__c,Display_Order__c,Field_API_Name__c,Is_Active__c,Is_Link__c,Is_Searchable__c,Is_Sortable__c,Label__c,Link_Target_Field__c,Notes__c,Section_Config__c,Tab_Config__c,Width__c
a1IQj00000PlKxnMAF,005Qj00000gbBCPIA2,false,BCCOL-00008,2026-06-22T20:01:09.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:09.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:09.000+0000,,Text,a1JQj00000EEKV3MAP,WORK_ORDER_STATUS,70,status,true,false,false,true,Diary Status,,,,a1QQj000008B2hpMAC,
a1IQj00000PlOBmMAN,005Qj00000gbBCPIA2,false,BCCOL-00002,2026-06-22T20:00:45.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:45.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:45.000+0000,,Lookup,a1JQj00000EEKV3MAP,OPPORTUNITY,20,opportunityName,true,true,false,true,Opportunity,opportunityId,,,a1QQj000008B2hpMAC,
a1IQj00000PlP6GMAV,005Qj00000gbBCPIA2,false,BCCOL-00001,2026-06-22T20:00:41.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:41.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:41.000+0000,,DateTime,a1JQj00000EEKV3MAP,CREATED_DATE,50,createdDate,true,false,false,true,Created Date,,,,a1QQj000008B2hpMAC,
a1IQj00000PlThiMAF,005Qj00000gbBCPIA2,false,BCCOL-00009,2026-06-22T20:01:13.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:13.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:13.000+0000,,Lookup,a1JQj00000EEK0QMAX,ACCOUNT,10,accountName,true,true,false,true,Account,accountId,,,a1QQj000008B2l3MAC,
a1IQj00000PlTkyMAF,005Qj00000gbBCPIA2,false,BCCOL-00013,2026-06-22T20:01:29.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:29.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:29.000+0000,,Text,a1JQj00000EEK0QMAX,OWNER,90,ownerName,true,false,false,true,Owner,,,,a1QQj000008B2l3MAC,
a1IQj00000PlXRyMAN,005Qj00000gbBCPIA2,false,BCCOL-00014,2026-06-22T20:01:34.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:34.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:34.000+0000,,Text,a1JQj00000EEK0QMAX,SERVICE_APPOINTMENTS,40,serviceAppointmentDisplay,true,false,false,true,Service Appointments,,,,a1QQj000008B2l3MAC,
a1IQj00000PlZyRMAV,005Qj00000gbBCPIA2,false,BCCOL-00011,2026-06-22T20:01:21.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:21.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:21.000+0000,,Lookup,a1JQj00000EEK0QMAX,OPPORTUNITY,20,opportunityName,true,true,false,true,Opportunity,opportunityId,,,a1QQj000008B2l3MAC,
a1IQj00000PlaGBMAZ,005Qj00000gbBCPIA2,false,BCCOL-00003,2026-06-22T20:00:49.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:49.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:49.000+0000,Right,Currency,a1JQj00000EEKV3MAP,OPPORTUNITY_AMOUNT,80,opportunityAmount,true,false,false,true,Billable Amount,,,,a1QQj000008B2hpMAC,
a1IQj00000PlamSMAR,005Qj00000gbBCPIA2,false,BCCOL-00010,2026-06-22T20:01:17.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:17.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:01:17.000+0000,,DateTime,a1JQj00000EEK0QMAX,CREATED_DATE,50,createdDate,true,false,false,true,Created Date,,,,a1QQj000008B2l3MAC,
a1IQj00000PlcJZMAZ,005Qj00000gbBCPIA2,false,BCCOL-00000,2026-06-22T20:00:37.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:37.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:37.000+0000,,Lookup,a1JQj00000EEKV3MAP,ACCOUNT,10,accountName,true,true,false,true,Account,accountId,,,a1QQj000008B2hpMAC,
