Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Dataset_Config__c,Developer_Key__c,Field_API_Name__c,Filter_Logic_Group__c,Is_Active__c,Label__c,Notes__c,Object_API_Name__c,Operator__c,Section_Config__c,Sequence__c,Tab_Config__c,Value_Type__c,Value__c
a1KQj00001agwAdMAI,005Qj00000gbBCPIA2,false,BCFIL-00003,2026-06-22T20:00:02.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:02.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:02.000+0000,a1JQj00000EEKV3MAP,INVOICING_ORDER_READY_FOR_BILLING,Ready_For_Billing__c,,true,Order Ready for Billing,,Order,Equals,,10,a1QQj000008B2hpMAC,Static,TRUE
a1KQj00001ah5o3MAA,005Qj00000gbBCPIA2,false,BCFIL-00005,2026-06-22T20:00:10.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:10.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:10.000+0000,a1JQj00000EEKV3MAP,INVOICING_SA_INVOICE_NUMBER_NULL,Invoice_Number__c,,false,Invoice Number Blank,,ServiceAppointment,Is Null,,20,a1QQj000008B2hpMAC,Static,
a1KQj00001ah7FcMAI,005Qj00000gbBCPIA2,false,BCFIL-00008,2026-06-22T20:00:22.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:22.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:22.000+0000,a1JQj00000EEK0QMAX,ORDERS_CLOSEDATE_LAST_3_YEARS,CloseDate,,true,Closed Within 3 Years,,Opportunity,Greater Or Equal,,20,a1QQj000008B2l3MAC,Date Literal,LAST_N_YEARS:3
a1KQj00001ahAN3MAM,005Qj00000gbBCPIA2,false,BCFIL-00000,2026-06-22T19:59:49.000+0000,005Qj00000gbBCPIA2,2026-06-22T19:59:49.000+0000,005Qj00000gbBCPIA2,2026-06-22T19:59:49.000+0000,a1JQj00000EEKV3MAP,INVOICING_OPP_BILLING_STATUS,Billing_Status__c,,false,Billing Status Eligible,,Opportunity,In,,40,a1QQj000008B2hpMAC,Static,Ready for Billing;Awaiting Billing
a1KQj00001ahAOfMAM,005Qj00000gbBCPIA2,false,BCFIL-00001,2026-06-22T19:59:53.000+0000,005Qj00000gbBCPIA2,2026-06-22T19:59:53.000+0000,005Qj00000gbBCPIA2,2026-06-22T19:59:53.000+0000,a1JQj00000EEKV3MAP,INVOICING_ORDER_DIARY_READY_TO_BILL,Billing_Diary_Status__c,,true,Order Diary Ready to Bill,,Order,Equals,,20,a1QQj000008B2hpMAC,Static,Ready to Bill
a1KQj00001ahAOgMAM,005Qj00000gbBCPIA2,false,BCFIL-00004,2026-06-22T20:00:06.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:06.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:06.000+0000,a1JQj00000EEKV3MAP,INVOICING_ORDER_SERVICE_APPOINTMENT_PRESENT,Service_Appointment__c,,true,Order Service Appointment Present,,Order,Is Not Null,,30,a1QQj000008B2hpMAC,Static,
a1KQj00001ahAQHMA2,005Qj00000gbBCPIA2,false,BCFIL-00002,2026-06-22T19:59:58.000+0000,005Qj00000gbBCPIA2,2026-06-22T19:59:58.000+0000,005Qj00000gbBCPIA2,2026-06-22T19:59:58.000+0000,a1JQj00000EEKV3MAP,INVOICING_ORDER_INVOICED_AMOUNT_ZERO,Invoiced_Amount__c,,true,Order Invoiced Amount Zero,,Order,Equals,,40,a1QQj000008B2hpMAC,Static,0
a1KQj00001ahAV7MAM,005Qj00000gbBCPIA2,false,BCFIL-00006,2026-06-22T20:00:14.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:14.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:14.000+0000,a1JQj00000EEKV3MAP,INVOICING_SA_PARENT_NOT_NULL,ParentRecordId,,false,Work Order Present,,ServiceAppointment,Is Not Null,,30,a1QQj000008B2hpMAC,Static,
a1KQj00001ahAWjMAM,005Qj00000gbBCPIA2,false,BCFIL-00007,2026-06-22T20:00:18.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:18.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:18.000+0000,a1JQj00000EEKV3MAP,INVOICING_SA_STATUS_COMPLETED,Status,,false,Completed Only,,ServiceAppointment,Equals,,10,a1QQj000008B2hpMAC,Static,Completed
a1KQj00001ahAdBMAU,005Qj00000gbBCPIA2,false,BCFIL-00009,2026-06-22T20:00:26.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:26.000+0000,005Qj00000gbBCPIA2,2026-06-22T20:00:26.000+0000,a1JQj00000EEK0QMAX,ORDERS_STAGE_CLOSED_WON,StageName,,true,Closed Won Only,,Opportunity,Equals,,10,a1QQj000008B2l3MAC,Static,Closed Won
